1,Burwood Highway,SIX,SIX,burwood,3125,20161011,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,986,0,1,4,0,230,0,2016,7.5,15.1,1.4,18.6,16.9,10,1.8,1.86,225000,300000,19.2,NrlyLvl,0,723000,670000,"100000
"
2,Burwood Highway,NINE,EIGHT,burwood,3125,20150728,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,1912,1991,3,3,109000,200,2014,2016,7.9,14.4,0,18.6,16.8,9.9,1.8,1.88,0,0,0,NA,0,653000,723000,"100000
"
4,Central Avenue,TWO,FIVE,burwood,3125,20161128,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,1,65,23,42,Y,N,Y,Y,108.5,116.5,110,0,0,0,0,0,0,0,12.2,19.6,0.2,15.8,0.4,0.6,0.5,1.16,0,0,0,NA,0,0,0,"60000
"
5,Burwood Highway,SIX,SIX,burwood,3125,20161011,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,986,0,1,4,0,230,0,2016,7.5,15.1,1.4,18.6,16.9,10,1.8,1.86,225000,300000,19.2,NrlyLvl,0,723000,670000,"100000
"
6,Delany Avenue,TWO,ONE,burwood,3125,20151012,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,0,31,62,79,N,N,Y,N,108.5,116.5,712,2005,2,5,175500,250,2006,2016,11.3,16.1,0.6,17.8,0.9,0.1,1.7,1.63,0,0,15.6,GntlyInclnd,0,670000,758000,"110000
"
7,Burwood Highway,THREE,NA,burwood,3125,20170506,WkEnd,SDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,1907,0,2,5,189500,185,2009,2017,9.6,20,0.2,18.6,2,1.4,1.8,1.89,120000,155000,0,GntlyInclnd,0,723000,670000,"133999
"
8,Burwood Hwy,NINE,NA,burwood,3125,20170505,WkDay,FDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,Y,N,108.5,116.5,0,0,1,3,0,195,0,2016,6.2,20.5,0,18.6,16.8,9.9,1.8,1.89,120000,155000,0,NA,0,723000,670000,"135000
"
9,Burwood Highway,THREE,NA,burwood,3125,20161123,WkDay,WDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,1912,1991,2,4,187250,195,2007,2014,11,16.8,5.4,18.6,16.8,9.9,1.8,1.89,125000,160000,0,GntlyInclnd,0,723000,670000,"142000
"
10,Burwood Highway,NINE,EIGHT,burwood,3125,20150728,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,1912,1991,3,3,109000,200,2014,2016,7.9,14.4,0,18.6,16.8,9.9,1.8,1.88,0,0,0,NA,0,653000,723000,"100000
"
11,Delany Avenue,ONE,ONE,burwood,3125,20150529,WkDay,FDay,WrkngDy,sold,AptFlat,1,1,1,31,62,79,N,N,N,N,108.5,116.5,712,2005,2,1,200500,250,2006,2013,9.5,15.8,0,17.8,0.9,0.1,1.7,1.63,120000,155000,15.6,GntlyInclnd,0,670000,739000,"119000
"
