Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2
15028,NA,EIGHT,oakleigh,3166,20150613,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,65,21,47,Y,N,N,N,98,59,566,1950,3,0,700000,NA,2008,NA,6,18.2,0,20.2,1.2,0.3,1.2,5.31,1180000,1580000,15.8,NrlyLvl,1341667,1420000,1550000
15029,NA,SEVEN,oakleigh,3166,20150502,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,63,40,47,Y,N,Y,N,98,59,760,1970,2,0,80000,NA,1989,NA,11.6,22.2,0,19.8,0.5,0.2,0.9,1.46,1180000,1580000,NA,NrlyLvl,1185000,960000,1120000
15030,NA,FOUR,oakleigh,3166,20141113,WkDay,ThDay,WrkngDy,sold,Hse,4,2,3,74,23,44,Y,N,N,Y,98,59,507,1950,5,0,359000,NA,2003,NA,12.7,30.6,0,20.5,1.2,0.3,0.9,1.05,1180000,1580000,15.9,NrlyLvl,1349500,1100000,1030000
15052,NA,TWO,hughesdale,3166,20170322,WkDay,WDay,WrkngDy,sold,TwnHse,3,2,1,55,40,40,N,N,Y,N,70,43.5,147,1975,1,2,NA,650,NA,2015,17.8,21.8,9.2,19.9,0.1,0.1,1.9,0.72,975000,1290000,NA,NA,1136333,1210000,1270000
15053,NA,TWO,hughesdale,3166,20140830,WkEnd,SDay,WrkngDy,sold,Hse,4,3,2,55,40,40,Y,N,Y,Y,70,43.5,552,1920,3,1,1070000,900,2007,2011,10.4,21.1,0,20,0.3,0.3,1.7,0.58,1370000,1830000,13.5,NrlyLvl,1375000,1870000,1270000
15054,NA,SIX,hughesdale,3166,20140614,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,51,33,46,Y,N,N,N,70,43.5,691,1930,3,0,750000,NA,2012,NA,10.1,14.7,0,19.1,0.4,0.4,0.4,0.62,1370000,1830000,15.1,NrlyLvl,1513333,1590000,1760000
15072,NA,THREE,hughesdale,3166,20160723,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,60,30,44,N,N,N,N,70,43.5,697,1950,1,0,NA,NA,NA,NA,7.5,11.6,2.8,20,0.3,0.3,1.6,0.71,1180000,1580000,15.2,NrlyLvl,1562000,1440000,1420000
15073,NA,THREE,hughesdale,3166,20150808,WkEnd,SDay,WrkngDy,sold,Hse,4,1,1,72,16,39,Y,N,Y,N,70,43.5,613,2015,1,0,NA,NA,NA,NA,8.8,12.6,0.4,20.5,1,0.1,1.8,0.59,1240000,1660000,15.3,NrlyLvl,1537667,1440000,1350000
15075,NA,ONE,huntingdale,3166,20170513,WkEnd,SDay,WrkngDy,sold,Hse,4,1,1,70,29,46,N,N,Y,N,59.5,16.5,622,1950,1,0,NA,NA,NA,NA,8.4,15.6,0.2,21.3,0.5,0.5,1.4,0.76,1030000,1360000,18.9,NrlyLvl,1196667,1080000,1100000
15076,NA,ONE,huntingdale,3166,20161126,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,55,37,47,N,N,N,N,59.5,16.5,620,1980,4,0,599950,NA,2012,NA,12.2,17.4,0,21.5,0.7,0.6,1.4,0.81,1120000,1510000,18.7,NrlyLvl,1076667,1120000,997000
15080,NA,SIX,oakleigh,3166,20161014,WkDay,FDay,WrkngDy,sold,Hse,3,1,3,65,35,47,N,N,N,N,98,59,488,1950,2,0,116500,NA,1995,NA,5.2,22.7,0.2,20.1,0.7,0.2,0.5,1.3,1120000,1510000,15.2,NrlyLvl,1121667,1120000,1220000
15081,NA,TWO,oakleigh,3166,20160625,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,65,21,47,N,N,Y,N,98,59,606,1965,1,0,NA,NA,NA,NA,5.6,12.7,2,20.3,0.5,0.2,1.1,5.36,1240000,1660000,17.1,NrlyLvl,1296667,1080000,1100000
