Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2
1258,NA,EIGHT,burwood,3125,20151013,WkDay,TuDay,WrkngDy,sold,Hse,3,1,2,51,49,49,Y,Y,N,N,108.5,116.5,836,1958,3,2,710000,530,2009,2014,7.9,17.6,0.4,17.1,1.5,0.3,1.1,1.65,1300000,1740000,18.4,GntlyInclnd,1373333,1450000,749900
1262,NA,EIGHT,burwood,3125,20141015,WkDay,WDay,WrkngDy,sold,Hse,4,2,2,66,17,46,Y,Y,N,Y,108.5,116.5,697,1987,4,0,872500,NA,2011,NA,5.9,15.4,0.2,16.6,0.4,0.4,1,2.14,1510000,2010000,15.1,NrlyLvl,1612000,1750000,1680000
1272,NA,TWO,burwood,3125,20161112,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,43,44,68,N,N,Y,Y,108.5,116.5,743,1960,5,1,1316666,595,2015,2016,13.2,25.5,2,17.8,0.8,0.3,2.1,1.16,1370000,1830000,15.0,GntlyInclnd,1431167,901000,1240000
1273,NA,NA,burwood,3125,20160722,WkDay,FDay,WrkngDy,sold,Hse,4,2,2,52,19,38,Y,N,Y,N,108.5,116.5,551,2006,2,0,615000,NA,2006,NA,9.2,18.3,7.8,19.1,1.9,0.3,2.4,0.67,1300000,1740000,16.0,NrlyLvl,1400000,1420000,1340000
1286,NA,FIVE,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,74,5,41,Y,N,Y,Y,108.5,116.5,526,1998,3,3,830000,400,2007,2004,11.9,22.7,0,17,1.4,0.9,1.4,2.7,1510000,2010000,17.6,NrlyLvl,1725000,1200000,1170000
1295,NA,EIGHT,burwood,3125,20170408,WkEnd,SDay,WrkngDy,sold,Hse,3,2,3,66,17,46,Y,N,N,N,108.5,116.5,617,1978,1,0,NA,NA,NA,NA,18.6,28.1,0,16.5,0.7,0.6,1,2.51,1300000,1740000,16.2,GntlyInclnd,1333833,1710000,1270000
1297,NA,FOUR,burwood,3125,20161105,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,59,39,52,N,N,N,N,108.5,116.5,778,1965,5,0,188500,NA,2004,NA,10,16.8,0,17.2,2.1,1.3,1.8,2.6,1370000,1830000,NA,GntlyInclnd,1402167,1710000,1270000
1311,NA,ONE,burwood,3125,20170325,WkEnd,SDay,WrkngDy,sold,Hse,5,2,2,58,36,55,N,N,N,N,108.5,116.5,666,1950,1,0,NA,NA,NA,NA,15.3,29.7,0,18.5,1.4,0.3,2.4,2.65,1240000,1660000,15.4,NrlyLvl,1603333,1170000,1480000
1327,NA,THREE,burwood,3125,20150509,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,65,23,42,Y,N,N,N,108.5,116.5,749,1950,3,2,523500,650,2004,2018,12.8,18.7,0,16.3,0.5,0.4,0.8,2.37,1510000,2010000,17.7,NrlyLvl,1679333,2890000,1680000
1336,NA,SIX,burwood,3125,20170520,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,47,48,71,N,N,N,N,108.5,116.5,786,1976,2,1,33750,500,1976,2017,10.2,19.3,0,17.5,0.9,0.4,2.3,1.19,1240000,1660000,20.1,GntlyInclnd,1713333,985000,1460000
1343,NA,NINE,burwood,3125,20150810,WkDay,MDay,WrkngDy,sold,Hse,3,2,4,57,33,61,Y,N,Y,Y,108.5,116.5,833,1950,4,1,146000,550,1996,2015,8.3,16,0.2,18.3,2,0.4,1.4,2.81,1580000,2120000,17.0,NrlyLvl,1718333,1130000,891000
2223,NA,SIX,ashwood,3147,20151212,WkEnd,SDay,WrkngDy,sold,Hse,5,2,2,68,23,42,Y,N,N,N,80.5,58.5,789,1951,2,0,182000,NA,1993,NA,10.1,18.3,2,18.1,1.6,0.5,1.8,2.06,1180000,1580000,16.7,GntlyInclnd,1522500,1520000,1520000
2224,NA,SEVEN,ashwood,3147,20151121,WkEnd,SDay,WrkngDy,sold,Hse,4,1,1,55,45,44,Y,Y,N,N,80.5,58.5,773,1980,2,0,525000,NA,2006,NA,12.2,17.5,3.6,16.9,0.8,0.5,0.8,0.98,1240000,1660000,15.9,ModInclnd,1383667,1120000,1480000
2254,ONE,THREE,ashwood,3147,20170216,WkDay,ThDay,WrkngDy,sold,Hse,4,3,2,60,81,68,Y,N,Y,Y,80.5,58.5,373,2015,1,0,NA,NA,NA,NA,14.9,23.6,0,17.7,1.5,0.4,1.5,1.2,1030000,1360000,17.2,NrlyLvl,1400033,1080000,1170000
2255,NA,FIVE,ashwood,3147,20160803,WkDay,WDay,WrkngDy,sold,Hse,5,2,5,73,23,39,Y,Y,Y,Y,80.5,58.5,787,2016,1,0,NA,NA,NA,NA,8.7,12.8,2.8,17.5,0.3,0.7,1.4,0.55,1180000,1580000,NA,GntlyInclnd,1458667,1080000,1200000
2260,NA,SEVEN,ashwood,3147,20140419,WkEnd,SDay,HliDy,sold,Hse,4,2,2,72,15,35,Y,N,Y,Y,80.5,58.5,599,2000,3,0,688000,NA,2007,NA,11.8,17,2.2,17.7,2.2,0.7,1.5,1.1,1580000,2120000,16.6,GntlyInclnd,1415000,1520000,1580000
2275,NA,NINE,ashburton,3147,20151010,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,73,11,34,N,N,Y,N,31.5,57.5,724,1950,1,3,NA,435,NA,2010,17.5,29.2,0,15.1,0.8,0.2,1.3,0.53,1430000,1920000,15.8,NrlyLvl,1740000,1480000,1420000
2298,NA,FIVE,ashwood,3147,20150808,WkEnd,SDay,WrkngDy,sold,Hse,2,1,2,77,24,42,Y,N,Y,Y,80.5,58.5,731,1960,2,2,120000,440,1996,2018,8.8,12.6,0.4,17.7,1.3,0.9,1.5,0.63,1180000,1580000,16.3,NrlyLvl,1335833,1080000,1200000
2299,NA,TWO,ashwood,3147,20150718,WkEnd,SDay,WrkngDy,sold,Hse,6,2,2,64,15,32,Y,N,Y,N,80.5,58.5,724,1960,5,0,740000,NA,2009,NA,6.1,11.5,0.4,18.2,1.8,0.8,2.1,1.05,1120000,1510000,NA,NrlyLvl,1559167,1080000,1200000
2302,NA,NINE,ashwood,3147,20150611,WkDay,ThDay,WrkngDy,sold,Hse,4,2,2,72,15,35,N,N,Y,Y,80.5,58.5,577,2015,2,4,128500,585,1997,2011,5.7,14,nan,17.6,2.3,0.6,1.4,1.09,1510000,2010000,16.1,GntlyInclnd,1481667,1520000,1580000
2324,NA,SEVEN,ashwood,3147,20170515,WkDay,MDay,WrkngDy,sold,Hse,3,1,1,60,81,68,N,N,N,N,80.5,58.5,604,1980,1,0,NA,NA,NA,NA,6.3,16.9,0,18,1.5,0.5,1.8,1.38,1030000,1360000,NA,GntlyInclnd,1141000,1120000,1120000
2331,NA,NA,ashwood,3147,20140628,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,68,21,34,Y,N,Y,Y,80.5,58.5,728,1955,3,0,665550,NA,2009,NA,9.7,13.3,0,17.3,1.2,0.2,1.1,1.08,1430000,1920000,17.3,NrlyLvl,1512500,650000,1510000
2359,NA,SIX,ashwood,3147,20170225,WkEnd,SDay,WrkngDy,sold,TwnHse,4,3,2,77,24,42,N,N,Y,N,80.5,58.5,382,2016,1,0,NA,NA,NA,NA,13.7,19.4,0,18.7,1.8,0.4,2.5,0.46,1210000,1570000,NA,NA,1230000,1420000,1420000
2360,NA,SIX,ashwood,3147,20161217,WkEnd,SDay,WrkngDy,sold,Hse,4,2,4,77,24,42,N,N,Y,Y,80.5,58.5,731,1970,1,0,NA,NA,NA,NA,15.1,20.9,0,18,1.3,0.1,1.9,0.59,1300000,1740000,16.8,NrlyLvl,1512500,1460000,1420000
2361,NA,EIGHT,ashwood,3147,20161022,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,68,21,34,Y,N,Y,N,80.5,58.5,728,1980,4,1,380200,700,2003,2017,6.9,13.2,16.4,18.1,1.6,0.6,1.9,1.1,1300000,1740000,17.1,GntlyInclnd,1479750,1610000,1520000
